nyc_transit/target/compiled/nyc_transit/analyses/trips_duration_grouped_by_borough_zone.sql
select
    Borough,
    Zone,
    count(*),
    avg(duration_min)
from
    "main"."mart"."mart__dim_locations" dl
join
    "main"."mart"."mart__fact_all_taxi_trips" t
on dl.LocationID = t.pulocationid
group by all
order by Borough, Zone;
'Borough','Zone','count_star()','avg(duration_min)'
'Queens','Laurelton',61747,15.780863847636322106
'Queens','Long Island City/Hunters Point',222195,18.612137986903395159
'Queens','Long Island City/Queens Plaza',88236,18.958338999954666093
'Queens','Maspeth',86141,15.851534112675729204
'Queens','Middle Village',68618,16.728190853711854657
'Queens','Murray Hill-Queens',63990,26.278934208470072775
'Queens','North Corona',85988,15.525177931804437392
'Queens','Oakland Gardens',21147,17.549345060765119796
'Queens','Old Astoria',120382,17.217100563207125673
'Queens','Ozone Park',53590,15.671319275984325614
'Queens','Queens Village',90845,16.63739336232043442
'Queens','Queensboro Hill',42418,23.590480456410013233
'Queens','Queensbridge/Ravenswood',54857,18.345972255136082651
'Queens','Rego Park',86465,17.35904701324235333
'Queens','Richmond Hill',140629,15.681097071016646182
'Queens','Ridgewood',203868,17.696225008338728912
'Queens','Rockaway Park',20327,22.484232793821025352
'Queens','Rosedale',59334,16.116240266963291816
'Queens','Saint Albans',146942,16.592614773175810682
'Queens','Saint Michaels Cemetery/Woodside',11618,12.418746772249956933
'Queens','South Jamaica',116991,15.773521040080005662
'Queens','South Ozone Park',187691,14.809767117229915456
'Queens','Springfield Gardens North',75061,16.346904517658970235
'Queens','Springfield Gardens South',67034,16.496733001163587317
'Queens','Steinway',163746,16.476475761239967709
'Queens','Sunnyside',204974,17.66462575741313401
'Queens','Whitestone',43750,24.576388571428569918
'Queens','Willets Point',2213,20.777225485765928425
'Queens','Woodhaven',111876,17.168329221638241932
'Queens','Woodside',140613,15.855696130514248309
'Staten Island','Arden Heights',8881,16.895845062492963251
'Staten Island','Arrochar/Fort Wadsworth',18322,18.036458901866609494
'Staten Island','Bloomfield/Emerson Hill',46416,16.703765942778353803
'Staten Island','Charleston/Tottenville',13165,17.707633877706037139
'Staten Island','Eltingville/Annadale/Prince''s Bay',13082,16.791010548845743954
'Staten Island','Freshkills Park',786,17.419847328244273398
'Staten Island','Great Kills',19833,17.30212272475167623
'Staten Island','Great Kills Park',63,18.174603174603173982
'Staten Island','Grymes Hill/Clifton',34148,24.316299636874781243
'Staten Island','Heartland Village/Todt Hill',32996,17.558340404897563758
'Staten Island','Mariners Harbor',45161,15.842806846615442139
'Staten Island','New Dorp/Midland Beach',18331,17.311166875784191887
'Staten Island','Oakwood',10949,18.367704813224950299
'Staten Island','Port Richmond',22583,16.949519550104060527
'Staten Island','Rossville/Woodrow',7700,17.16675324675324532
'Staten Island','Saint George/New Brighton',79076,15.68737670089534042
'Staten Island','South Beach/Dongan Hills',26885,18.175674167751534326
'Staten Island','Stapleton',62147,23.438556969765233616
'Staten Island','West Brighton',25899,16.656125719139733831
'Staten Island','Westerleigh',24261,14.828448950991303334
'Unknown','NA',29324,35.661471831946528255
'Unknown','NV',887462,35.743389576117060358
